"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2019","111.34","111.57","112.21","109.88","","-0.18%"
"02/01/2019","111.54","109.50","111.82","108.72","","1.90%"
"01/01/2019","109.46","111.63","111.83","106.07","","-1.91%"
"12/01/2018","111.59","113.60","114.67","111.24","","-1.73%"
"11/01/2018","113.56","111.98","114.44","111.82","","1.45%"
"10/01/2018","111.94","115.77","116.19","111.54","","-3.27%"
"09/01/2018","115.73","114.66","118.07","113.92","","1.00%"
"08/01/2018","114.58","112.97","115.32","110.69","","1.46%"
"07/01/2018","112.93","111.75","113.29","110.97","","1.16%"
"06/01/2018","111.64","110.39","112.24","110.10","","1.15%"
"05/01/2018","110.37","110.36","111.93","108.50","","0.05%"
"04/01/2018","110.32","111.48","112.30","110.17","","-0.87%"
"03/01/2018","111.29","112.93","113.51","110.37","","-1.43%"
"02/01/2018","112.90","117.23","118.58","112.81","","-3.68%"
"01/01/2018","117.21","115.63","117.56","113.65","","1.37%"
"12/01/2017","115.63","114.41","115.77","113.28","","1.10%"
"11/01/2017","114.37","113.89","114.73","112.95","","0.45%"
"10/01/2017","113.86","116.25","116.44","113.39","","-1.96%"
"09/01/2017","116.14","114.71","116.50","113.31","","1.26%"
"08/01/2017","114.69","114.03","115.35","112.54","","0.61%"
"07/01/2017","113.99","117.01","118.63","113.79","","-2.75%"
"06/01/2017","117.21","114.46","117.81","112.49","","2.44%"
"05/01/2017","114.42","111.84","115.20","111.78","","2.12%"
"04/01/2017","112.05","111.05","112.64","107.67","","0.94%"
"03/01/2017","111.01","112.13","114.33","111.00","","-0.95%"
"02/01/2017","112.08","114.01","114.81","111.04","","-1.68%"
"01/01/2017","113.99","114.94","115.45","112.33","","-0.61%"
"12/01/2016","114.69","112.56","115.54","110.94","","2.00%"
"11/01/2016","112.44","105.98","112.64","105.49","","6.14%"
"10/01/2016","105.94","104.32","106.50","103.98","","1.59%"
"09/01/2016","104.28","105.13","106.38","102.82","","-0.74%"
"08/01/2016","105.06","105.28","106.22","103.24","","-0.17%"
"07/01/2016","105.24","105.82","108.96","102.04","","-0.49%"
"06/01/2016","105.76","111.43","111.83","101.89","","-5.04%"
"05/01/2016","111.37","110.93","112.81","109.80","","0.52%"
"04/01/2016","110.79","117.04","117.32","110.72","","-5.28%"
"03/01/2016","116.96","112.87","117.45","111.93","","3.72%"
"02/01/2016","112.77","118.33","119.09","112.23","","-4.62%"
"01/01/2016","118.23","120.15","120.43","115.29","","-1.49%"
"12/01/2015","120.02","119.67","124.12","119.23","","0.33%"
"11/01/2015","119.63","122.14","123.43","118.64","","-1.95%"
"10/01/2015","122.01","123.19","126.00","121.14","","-0.87%"
"09/01/2015","123.08","125.36","125.82","121.89","","-1.80%"
"08/01/2015","125.33","128.39","129.13","124.92","","-2.25%"
"07/01/2015","128.22","130.95","131.43","127.10","","-2.05%"
"06/01/2015","130.91","132.01","134.72","129.66","","-0.81%"
"05/01/2015","131.98","127.96","132.50","127.71","","3.15%"
"04/01/2015","127.95","123.51","128.30","121.93","","3.61%"
"03/01/2015","123.49","125.31","125.82","119.90","","-1.47%"
"02/01/2015","125.33","127.54","130.12","124.35","","-1.65%"
"01/01/2015","127.43","120.37","157.51","114.04","","5.88%"
"12/01/2014","120.35","122.92","124.53","120.33","","-1.98%"
"11/01/2014","122.78","116.79","124.19","116.43","","5.31%"
"10/01/2014","116.59","114.81","116.80","111.21","","1.59%"
"09/01/2014","114.76","113.44","117.06","112.55","","1.31%"
"08/01/2014","113.28","113.13","114.28","111.86","","0.15%"
"07/01/2014","113.11","114.27","114.86","112.22","","-0.97%"
"06/01/2014","114.22","113.71","114.98","113.04","","0.46%"
"05/01/2014","113.70","116.15","117.17","113.00","","-2.03%"
"04/01/2014","116.06","116.66","117.75","114.97","","-0.47%"
"03/01/2014","116.61","115.40","117.91","114.70","","0.85%"
"02/01/2014","115.63","112.57","116.10","111.68","","2.76%"
"01/01/2014","112.52","117.96","118.25","112.53","","-4.55%"
"12/01/2013","117.88","113.05","119.21","112.83","","4.33%"
"11/01/2013","112.99","108.47","113.42","106.78","","4.19%"
"10/01/2013","108.45","108.54","109.79","106.63","","-0.06%"
"09/01/2013","108.51","105.54","109.43","105.15","","2.82%"
"08/01/2013","105.53","105.66","107.33","104.04","","-0.09%"
"07/01/2013","105.62","105.10","107.22","103.09","","0.68%"
"06/01/2013","104.91","105.21","106.09","101.79","","-0.23%"
"05/01/2013","105.15","104.86","106.71","104.04","","0.32%"
"04/01/2013","104.81","99.25","107.47","97.93","","5.67%"
"03/01/2013","99.19","98.87","102.32","98.18","","0.35%"
"02/01/2013","98.84","100.55","103.68","97.43","","-1.67%"
"01/01/2013","100.52","94.77","100.64","93.93","","6.09%"
"12/01/2012","94.75","88.75","94.92","87.79","","6.50%"
"11/01/2012","88.97","85.64","89.41","83.24","","3.90%"
"10/01/2012","85.63","82.89","86.42","82.51","","3.36%"
"09/01/2012","82.85","82.07","85.58","81.57","","0.99%"
"08/01/2012","82.04","79.96","82.61","79.00","","2.58%"
"07/01/2012","79.98","84.31","84.33","78.34","","-4.86%"
"06/01/2012","84.07","80.66","84.66","79.57","","4.32%"
"05/01/2012","80.59","87.99","88.71","80.33","","-8.31%"
"04/01/2012","87.89","90.86","92.32","87.01","","-4.19%"
"03/01/2012","91.73","89.71","92.46","87.61","","2.25%"
"02/01/2012","89.71","82.79","91.25","82.37","","8.40%"
"01/01/2012","82.76","81.94","84.72","80.03","","0.94%"
"12/01/2011","81.99","84.93","85.67","81.72","","-3.37%"
"11/01/2011","84.85","89.08","89.89","83.18","","-4.76%"
"10/01/2011","89.09","84.72","91.38","82.40","","5.03%"
"09/01/2011","84.82","94.99","99.46","83.06","","-10.76%"
"08/01/2011","95.05","97.57","108.47","93.19","","-2.64%"
"07/01/2011","97.63","95.66","98.19","94.63","","1.94%"
